Datetime,Value
7/30/2014 0:00,0.436189456
7/30/2014 0:15,0.144474229
7/30/2014 0:30,0.059231474
7/30/2014 0:45,0.014091922
7/30/2014 1:00,0.058047882
7/30/2014 1:15,0.20987121
7/30/2014 1:30,0.703102013
7/30/2014 1:45,0.0416808
7/30/2014 2:00,0.324800118
7/30/2014 2:15,0.474346225
7/30/2014 2:30,0.185182864
7/30/2014 2:45,0.453834327
7/30/2014 3:00,0.317506651
7/30/2014 3:15,0.129269436
7/30/2014 3:30,0.658890555
7/30/2014 3:45,0.102250652
7/30/2014 4:00,0.80154266
7/30/2014 4:15,0.464030317
7/30/2014 4:30,0.574503875
7/30/2014 4:45,0.262377274
7/30/2014 5:00,0.601262273
7/30/2014 5:15,0.872380995
7/30/2014 5:30,0.805536017
7/30/2014 5:45,0.357491288
7/30/2014 6:00,0.071623472
7/30/2014 6:15,0.180321798
7/30/2014 6:30,0.376017347
7/30/2014 6:45,0.941653873
7/30/2014 7:00,0.622865811
7/30/2014 7:15,0.865953364
7/30/2014 7:30,0.503396101
7/30/2014 7:45,0.502327246
7/30/2014 8:00,0.208935968
7/30/2014 8:15,0.147797635
7/30/2014 8:30,0.999222596
7/30/2014 8:45,0.249451448
7/30/2014 9:00,0.170721668
7/30/2014 9:15,0.155964574
7/30/2014 9:30,0.267908847
7/30/2014 9:45,0.996682063
7/30/2014 10:00,0.360460206
7/30/2014 10:15,0.731148986
7/30/2014 10:30,0.931734738
7/30/2014 10:45,0.001147485
7/30/2014 11:00,0.512300255
7/30/2014 11:15,0.341424943
7/30/2014 11:30,0.964913894
7/30/2014 11:45,0.171638772
7/30/2014 12:00,0.430880896
7/30/2014 12:15,0.5494547
7/30/2014 12:30,0.633775697
7/30/2014 12:45,0.557862067
7/30/2014 13:00,0.940452264
7/30/2014 13:15,0.088266552
7/30/2014 13:30,0.717948311
7/30/2014 13:45,0.957223188
7/30/2014 14:00,0.145958454
7/30/2014 14:15,0.353214449
7/30/2014 14:30,0.464275736
7/30/2014 14:45,0.290782495
7/30/2014 15:00,0.073120967
7/30/2014 15:15,0.899531645
7/30/2014 15:30,0.552771508
7/30/2014 15:45,0.145172018
7/30/2014 16:00,0.063879533
7/30/2014 16:15,0.351505904
7/30/2014 16:30,0.437196162
7/30/2014 16:45,0.78528675
